key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Place of articulation,"Place
value",Manner of articulation,"Sonority
value"
254,β~ʒ,+,+,−/+,−,B~Ɉ,1.25,F (W),1.625
255,β~d̠͡ʒ,+,+,−/+,−,B~Ɉ,1.25,F~P͡F,2.625
256,β~ʒ,+,+,−/+,−,B~Ɉ,1.25,F (P),2.5
257,∅ (z̠),− (+),− (+),− (+),−,D,0.5,∅ (F),0.666666667
258,tt͡s (ʒ),+,− (+),+,−,D (Ɉ),0.5,PP͡F (F),3.166666667
259,t͡s̪ (t̠͡ʃ),+,−,+,−,D (Ɉ),0.722222222,P͡F,3
260,w~β,+,+,−,−,BK~B,1.5,W~F,1.25
261,v (b),+,+,−,−,B,2.625,F (P),2.5
262,v (β),+,+,−,−,B,2.625,F,2
263,ʃ~d̠͡ʒ,+,+/−,+,−,Ɉ,-0.5,F~P͡F,2.5
264,j̃,+,+,−,−,Ɉ,-2,NW,0.916666667
265,ȵ~ɲ,+,+,−,−,Ɉ,-1,N,1.5
266,n̪ʲ~ȵ,+,+,−,−,DɈ~Ɉ,0.75,N,1.5
267,n̪ʲː~ȵȵ,+,+,−,−,DɈ~Ɉ,0.75,NN,1.875
268,bb (b),+,+,−,−,B,3,PP (P),4.666666667
269,s̠ (d͡z̠),+,−/+,+,−,D,0.50,F (P͡F),2.25
270,ʃ~s̪,+,−,+,−,Ɉ~D,0.416666667,F,2
271,ɕ~ʃ,+,−,+,−,Ɉ,-0.25,F,2
272,t͡ɕ~t̠͡ʃ,+,−,+,−,Ɉ,-0.25,P͡F,3
273,b (v),+,+,−,−,B,2.833333333,P (F),3.333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
